"Thématiques","Critères","Enregistrement d'un dossier de candidature|https://www.concours.justice.gouv.fr/WD210AWP/WD210AWP.EXE/CONNECT/CANINS73_21?CLIENT=MINJUST&URL=CANINS&SYSIN=2022-EDUC-2","Récapitulatif du dossier de candidature"
"1","1","na","na"
"1","2","na","nc|Les images de décoration sont pourvues d'une alternative textuelle vie un attribut `title`. Cet attribut devrait être placé sur le lien parent de ces images."
"1","3","na","na"
"1","4","na","na"
"1","5","na","na"
"1","6","na","na"
"1","7","na","na"
"1","8","na","na"
"1","9","na","na"
"2","1","na","na"
"2","2","na","na"
"3","1","c","c"
"3","2","nc|Les titres de niveau 2 (`<h2>`) ne sont pas suffisamment contrastés (ratio de 3.9:1 au lieu de minimum 4.5:1). + les champs en erreur (gris sur rouge) : ratio de 1.12:1","nc|Les textes ""Vérifiez impérativement votre dossier AVANT de valider votre candidature"", ""PIÈCES JUSTIFICATIVES MANQUANTES"" et ""J'ANNULE ma demande d'inscription"" en rouge ne sont pas suffisamment contrastés avec le fond blanc (ratio 4:1). De la même façon, le panneau ""NOTEZ LES RÉFÉRENCES SUIVANTES […]"" n'est pas assez contrasté. Enfin, le texte ""Je modifie ma demande d'inscription"" en jaune n'est pas assez contrasté avec le fond blanc (ratio 1.5:1)"
"3","3","na","c"
"4","1","na","na"
"4","2","na","na"
"4","3","na","na"
"4","4","na","na"
"4","5","na","na"
"4","6","na","na"
"4","7","na","na"
"4","8","na","na"
"4","9","na","na"
"4","10","na","na"
"4","11","na","na"
"4","12","na","na"
"4","13","na","na"
"5","1","na","na"
"5","2","na","na"
"5","3","nc|Le tableau et ses sous-tableaux n'ont pas d'attribut `role=""presentation""`","nc|Le tableau et ses sous-tableaux n'ont pas d'attribut `role=""presentation""`"
"5","4","na","na"
"5","5","na","na"
"5","6","na","na"
"5","7","na","na"
"5","8","c","c"
"6","1","nc|Le lien ""¤"" (symbole monétaire) en bas de page n'est pas explicite","nc|Le lien ""¤"" (symbole monétaire) en bas de page n'est pas explicite"
"6","2","c","c"
